,NOMBRE,LONGITUD,LATITUD,var,cor,pvalue,p.value.FDR,type,names.modos,sign_cor,pval_NO_fdr,pval_fdr
1929,TARACO,-69.9825,-15.305,CWDm,0.116652873758163,0.467637259108424,0.944390419569745,I,C_Ei,1,0,0
1930,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.282113575693739,0.0818559991336455,0.801756491887419,I,C_Ei,-1,0,0
1931,DESAGUADERO,-69.0404,-16.5688,CWDm,0.105104198127454,0.501082819497617,0.944390419569745,I,C_Ei,1,0,0
1932,LARAQUERI,-70.067778,-16.1525,CWDm,-0.190277054639753,0.233412930200809,0.944390419569745,I,C_Ei,-1,0,0
1933,PUTINA,-69.868028,-14.914889,CWDm,0.0112408511533702,0.944390419569745,0.944390419569745,I,C_Ei,1,0,0
1934,ICHUÑA,-70.53725,-16.14075,CWDm,-0.0677788915488054,0.673711291074021,0.944390419569745,I,C_Ei,-1,0,0
1935,CAPAZO,-69.745556,-17.186389,CWDm,0.122123177062258,0.441030435903559,0.944390419569745,I,C_Ei,1,0,0
1936,PUNO,-70.018056,-15.823333,CWDm,0.0014810942897783,0.992667272203763,0.992667272203763,I,MEi,1,0,0
1937,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.377770227173,0.0125063781273556,0.0937978359551672,I,MEi,-1,1,0
1938,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,-0.358704453441296,0.025518694480891,0.12051400544426,I,MEi,-1,1,0
1939,LAMPA,-70.372778,-15.355833,CWDm,-0.0589975286987999,0.710538825342507,0.81654007878156,I,MEi,-1,0,0
1940,CABANILLAS,-70.346389,-15.6393,CWDm,-0.0497734161687744,0.751270156901297,0.81654007878156,I,MEi,-1,0,0
1941,HUANCANE,-69.7625,-15.203333,CWDm,-0.276913122616288,0.0758413210229099,0.22752396306873,I,MEi,-1,0,0
1942,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.525609756097561,0.000503324567047501,0.00754986850571252,I,MEi,-1,1,1
1943,CAPACHICA,-69.8443,-15.6158,CWDm,0.145583877727297,0.389925971540945,0.53171723391947,I,MEi,1,0,0
1944,TARACO,-69.9825,-15.305,CWDm,-0.201594286688864,0.20625236812632,0.360205585416369,I,MEi,-1,0,0
1945,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.262577185270742,0.106327481297415,0.265818703243538,I,MEi,-1,0,0
1946,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.215795832074902,0.16414851942121,0.351746827331164,I,MEi,-1,0,0
1947,LARAQUERI,-70.067778,-16.1525,CWDm,-0.335250048650994,0.0321370681184693,0.12051400544426,I,MEi,-1,1,0
1948,PUTINA,-69.868028,-14.914889,CWDm,-0.197368433041732,0.216123351249822,0.360205585416369,I,MEi,-1,0,0
1949,ICHUÑA,-70.53725,-16.14075,CWDm,-0.169708587065647,0.288790730926905,0.433186096390357,I,MEi,-1,0,0
1950,CAPAZO,-69.745556,-17.186389,CWDm,-0.0481361427836638,0.762104073529456,0.81654007878156,I,MEi,-1,0,0
1951,PUNO,-70.018056,-15.823333,CWDm,-0.107079068655688,0.505183052902956,0.666678063518924,I,SOi,-1,0,0
1952,PAMPAHUTA,-70.6775,-15.491389,CWDm,0.177201329609642,0.255634163118598,0.612752071231895,I,SOi,1,0,0
1953,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,0.224820327095728,0.168817946398606,0.574403139378655,I,SOi,1,0,0
1954,LAMPA,-70.372778,-15.355833,CWDm,0.0913032906467823,0.565251269350081,0.666678063518924,I,SOi,1,0,0
1955,CABANILLAS,-70.346389,-15.6393,CWDm,0.0619783219118651,0.692973508338404,0.742471616076861,I,SOi,1,0,0
1956,HUANCANE,-69.7625,-15.203333,CWDm,0.205602181044779,0.191467713126218,0.574403139378655,I,SOi,1,0,0
1957,HUARAYA MOHO,-69.491389,-15.389722,CWDm,0.546848460477959,0.000216081863253916,0.00324122794880874,I,SOi,1,1,1
1958,CAPACHICA,-69.8443,-15.6158,CWDm,-0.291676547308513,0.0798395989189073,0.574403139378655,I,SOi,-1,0,0
1959,TARACO,-69.9825,-15.305,CWDm,0.222522326501717,0.161999497499649,0.574403139378655,I,SOi,1,0,0
1960,MAZO CRUZ,-69.711667,-16.745556,CWDm,0.124981017624058,0.448395981104935,0.666678063518924,I,SOi,1,0,0
1961,DESAGUADERO,-69.0404,-16.5688,CWDm,0.0440249200483354,0.77923221325787,0.77923221325787,I,SOi,1,0,0
1962,LARAQUERI,-70.067778,-16.1525,CWDm,0.170696641123966,0.285950966574884,0.612752071231895,I,SOi,1,0,0
1963,PUTINA,-69.868028,-14.914889,CWDm,0.142882046181788,0.372831077555657,0.666678063518924,I,SOi,1,0,0
1964,ICHUÑA,-70.53725,-16.14075,CWDm,-0.0895229798279227,0.577787655049734,0.666678063518924,I,SOi,-1,0,0
1965,CAPAZO,-69.745556,-17.186389,CWDm,-0.128257081598197,0.418246226074052,0.666678063518924,I,SOi,-1,0,0
1966,PUNO,-70.018056,-15.823333,CWDm,-0.135563689111473,0.39805602272631,0.850883097934608,I,TNAi,-1,0,0
1967,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.341526031881566,0.0249993064214864,0.152022971140274,I,TNAi,-1,1,0
1968,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,0.0423076923076923,0.797680830711034,0.920400958512731,I,TNAi,1,0,0
1969,LAMPA,-70.372778,-15.355833,CWDm,-0.0977349170477373,0.538055111872148,0.850883097934608,I,TNAi,-1,0,0
1970,CABANILLAS,-70.346389,-15.6393,CWDm,-0.233534753860167,0.131761365334663,0.494105120004988,I,TNAi,-1,0,0
1971,HUANCANE,-69.7625,-15.203333,CWDm,-0.0196173816373366,0.901861496651291,0.941007159649633,I,TNAi,-1,0,0
1972,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.0764808362369338,0.633525384017518,0.863898250932978,I,TNAi,-1,0,0
1973,CAPACHICA,-69.8443,-15.6158,CWDm,-0.0465915830185893,0.784217568246718,0.920400958512731,I,TNAi,-1,0,0
1974,TARACO,-69.9825,-15.305,CWDm,0.129546544644054,0.419516669600215,0.850883097934608,I,TNAi,1,0,0
1975,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.0122482033221896,0.941007159649633,0.941007159649633,I,TNAi,-1,0,0
1976,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.100573844759891,0.519799636178379,0.850883097934608,I,TNAi,-1,0,0
1977,LARAQUERI,-70.067778,-16.1525,CWDm,-0.0920020923532873,0.567255398623072,0.850883097934608,I,TNAi,-1,0,0
1978,PUTINA,-69.868028,-14.914889,CWDm,0.146653895280016,0.360210855335772,0.850883097934608,I,TNAi,1,0,0
1979,ICHUÑA,-70.53725,-16.14075,CWDm,-0.359280396847395,0.0210548245250196,0.152022971140274,I,TNAi,-1,1,0
1980,CAPAZO,-69.745556,-17.186389,CWDm,-0.334440843885826,0.0304045942280547,0.152022971140274,I,TNAi,-1,1,0
1981,PUNO,-70.018056,-15.823333,CWDm,0.00679560909427691,0.966364843376944,0.966364843376944,I,TSAi,1,0,0
1982,PAMPAHUTA,-70.6775,-15.491389,CWDm,0.180918941496404,0.245634789142828,0.674291352990849,I,TSAi,1,0,0
1983,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,0.0993927125506073,0.545860392267036,0.818790588400554,I,TSAi,1,0,0
1984,LAMPA,-70.372778,-15.355833,CWDm,0.144981564343617,0.359622054928453,0.674291352990849,I,TSAi,1,0,0
1985,CABANILLAS,-70.346389,-15.6393,CWDm,-0.0194108770187785,0.901674407728917,0.966079722566697,I,TSAi,-1,0,0
1986,HUANCANE,-69.7625,-15.203333,CWDm,0.118190671186929,0.455989966241056,0.759983277068427,I,TSAi,1,0,0
1987,HUARAYA MOHO,-69.491389,-15.389722,CWDm,0.171602787456446,0.282286857269093,0.674291352990849,I,TSAi,1,0,0
1988,CAPACHICA,-69.8443,-15.6158,CWDm,-0.0320094845165881,0.850820740000614,0.966079722566697,I,TSAi,-1,0,0
1989,TARACO,-69.9825,-15.305,CWDm,0.0839830995540469,0.601637042652042,0.820414149070966,I,TSAi,1,0,0
1990,MAZO CRUZ,-69.711667,-16.745556,CWDm,0.326247597581959,0.0426660247297041,0.387756794023184,I,TSAi,1,1,0
1991,DESAGUADERO,-69.0404,-16.5688,CWDm,0.272274237390516,0.0775513588046367,0.387756794023184,I,TSAi,1,0,0
1992,LARAQUERI,-70.067778,-16.1525,CWDm,0.203868272828307,0.201072902194518,0.674291352990849,I,TSAi,1,0,0
1993,PUTINA,-69.868028,-14.914889,CWDm,0.297141879325522,0.0592063566071368,0.387756794023184,I,TSAi,1,0,0
1994,ICHUÑA,-70.53725,-16.14075,CWDm,-0.0556692952438132,0.729566595912909,0.911958244891137,I,TSAi,-1,0,0
1995,CAPAZO,-69.745556,-17.186389,CWDm,-0.147082658505639,0.352626389046649,0.674291352990849,I,TSAi,-1,0,0
1996,PUNO,-70.018056,-15.823333,CWDm,-0.131904514983785,0.41103000851311,0.685050014188517,I,TN_TSi,-1,0,0
1997,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.387359837177191,0.0102790277707315,0.154185416560973,I,TN_TSi,-1,1,0
1998,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,-0.044331983805668,0.788196448136045,0.844496194431477,I,TN_TSi,-1,0,0
1999,LAMPA,-70.372778,-15.355833,CWDm,-0.226670450234263,0.148872343283427,0.446617029850282,I,TN_TSi,-1,0,0
2000,CABANILLAS,-70.346389,-15.6393,CWDm,-0.0588368606911612,0.707827738878468,0.844496194431477,I,TN_TSi,-1,0,0
2001,HUANCANE,-69.7625,-15.203333,CWDm,-0.104734120146442,0.509196126832103,0.698597689204759,I,TN_TSi,-1,0,0
2002,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.160975609756098,0.313503433662226,0.671793072133342,I,TN_TSi,-1,0,0
2003,CAPACHICA,-69.8443,-15.6158,CWDm,-0.0576170721298586,0.73481803360928,0.844496194431477,I,TN_TSi,-1,0,0
2004,TARACO,-69.9825,-15.305,CWDm,0.0081021040026207,0.959903103007384,0.959903103007384,I,TN_TSi,1,0,0
2005,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.290414011002992,0.0728923217099325,0.364461608549663,I,TN_TSi,-1,0,0
2006,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.317124735729387,0.0387370168494313,0.290527626370735,I,TN_TSi,-1,1,0
2007,LARAQUERI,-70.067778,-16.1525,CWDm,-0.262066566097243,0.0978794090744188,0.367047784029071,I,TN_TSi,-1,0,0
2008,PUTINA,-69.868028,-14.914889,CWDm,-0.14046707022661,0.381047733959853,0.685050014188517,I,TN_TSi,-1,0,0
2009,ICHUÑA,-70.53725,-16.14075,CWDm,-0.205950256582746,0.19641133591993,0.491028339799824,I,TN_TSi,-1,0,0
2010,CAPAZO,-69.745556,-17.186389,CWDm,-0.103970826921617,0.51230497208349,0.698597689204759,I,TN_TSi,-1,0,0
2011,PUNO,-70.018056,-15.823333,CWDm,-0.20020909870062,0.209452662529238,0.326718973010412,I,PDOi,-1,0,0
2012,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.168837543065926,0.279114494821992,0.326718973010412,I,PDOi,-1,0,0
2013,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,-0.330161943319838,0.0406349018124731,0.110113843188167,I,PDOi,-1,1,0
2014,LAMPA,-70.372778,-15.355833,CWDm,-0.339397871140899,0.0278851441042844,0.110113843188167,I,PDOi,-1,1,0
2015,CABANILLAS,-70.346389,-15.6393,CWDm,-0.162915415289903,0.296567884927862,0.326718973010412,I,PDOi,-1,0,0
2016,HUANCANE,-69.7625,-15.203333,CWDm,-0.162613502332633,0.30351700078389,0.326718973010412,I,PDOi,-1,0,0
2017,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.278397212543554,0.0782134054702173,0.148936767698974,I,PDOi,-1,0,0
2018,CAPACHICA,-69.8443,-15.6158,CWDm,-0.173325430975007,0.304937708143051,0.326718973010412,I,PDOi,-1,0,0
2019,TARACO,-69.9825,-15.305,CWDm,-0.174848631540427,0.274216530125351,0.326718973010412,I,PDOi,-1,0,0
2020,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.324223101165069,0.0440455372752667,0.110113843188167,I,PDOi,-1,1,0
2021,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.27061310782241,0.0794329427727859,0.148936767698974,I,PDOi,-1,0,0
2022,LARAQUERI,-70.067778,-16.1525,CWDm,-0.330371149814077,0.0348906367750212,0.110113843188167,I,PDOi,-1,1,0
2023,PUTINA,-69.868028,-14.914889,CWDm,-0.323544808778787,0.0390653446357271,0.110113843188167,I,PDOi,-1,1,0
2024,ICHUÑA,-70.53725,-16.14075,CWDm,-0.436468183366986,0.00433162295083357,0.0649743442625036,I,PDOi,-1,1,0
2025,CAPAZO,-69.745556,-17.186389,CWDm,-0.13055105391327,0.409899879949756,0.409899879949756,I,PDOi,-1,0,0
2026,PUNO,-70.018056,-15.823333,CWD,-0.00936059689159432,0.953681161876214,0.993911717419142,A,Ei,-1,0,0
